ФИО,Год поступления,Форма обучения,Баллы ЦТ/ЦЭ,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Номер мобильного телефона,Математика,Физика,Русский язык,История
Анна Сергеевна Ширяева,2023,Очная,"{'Математика': 54, 'Физика': 66, 'Русский язык': 63, 'История': 60}",9.66,339.6,Информатика,"п. Томск, алл. Малиновая, д. 198, 073501",+7 (158) 718-5904,54,66,63,60
Елизавета Макаровна Петухова,2023,Очная,"{'Математика': 93, 'Физика': 71, 'Русский язык': 54, 'История': 72}",9.28,382.8,Информатика,"д. Ардон, пер. Терешковой, д. 77, 332537",+79919718594,93,71,54,72
Савва Валерьевич Дроздов,2023,Очная,"{'Математика': 81, 'Физика': 90, 'Русский язык': 61, 'История': 67}",5.07,349.7,Медицина,"г. Каменномостский, алл. Ручейная, д. 9/7, 163015",+73809103295,81,90,61,67
Марина Ильинична Куликова,2023,Очная,"{'Математика': 65, 'Физика': 95, 'Русский язык': 96, 'История': 52}",9.99,407.9,Информатика,"к. Белореченск, бул. Чехова, д. 707 стр. 258, 964096",8 943 380 9875,65,95,96,52
Гурий Жоресович Федосеев,2024,Заочная,"{'Математика': 100, 'Физика': 76, 'Русский язык': 78, 'История': 85}",5.32,392.2,Юриспруденция,"д. Нижневартовск, ш. Орловское, д. 965, 174504",8 727 041 9685,100,76,78,85
Марина Борисовна Павлова,2024,Очная,"{'Математика': 68, 'Физика': 51, 'Русский язык': 69, 'История': 50}",4.15,279.5,Медицина,"г. Щелково, ул. Стахановская, д. 7/6 к. 7/5, 043006",+7 811 017 7350,68,51,69,50
Фортунат Игнатьевич Аксенов,2024,Заочная,"{'Математика': 82, 'Физика': 70, 'Русский язык': 67, 'История': 79}",5.49,352.9,Юриспруденция,"г. Подольск, алл. Азина, д. 64 к. 926, 836604",81525595168,82,70,67,79
Федотова Фаина Евгеньевна,2024,Заочная,"{'Математика': 96, 'Физика': 54, 'Русский язык': 52, 'История': 78}",7.49,354.9,Юриспруденция,"д. Сальск, бул. Красноярский, д. 9/6 к. 5, 422739",8 442 046 26 21,96,54,52,78
Лаврентьева Лукия Святославовна,2024,Заочная,"{'Математика': 75, 'Физика': 66, 'Русский язык': 85, 'История': 78}",9.07,394.7,Медицина,"клх Новгород Великий, наб. Береговая, д. 9/7 к. 65, 850259",+7 (123) 851-5537,75,66,85,78
Павлова Галина Дмитриевна,2025,Заочная,"{'Математика': 58, 'Физика': 80, 'Русский язык': 95, 'История': 69}",4.47,346.7,Медицина,"г. Тамбей, ул. Пролетарская, д. 56, 145757",8 (041) 338-6165,58,80,95,69
Агафья Архиповна Брагина,2025,Заочная,"{'Математика': 98, 'Физика': 58, 'Русский язык': 92, 'История': 99}",9.12,438.2,Юриспруденция,"д. Катав-Ивановск, пер. Пугачева, д. 80 к. 1/4, 917839",8 880 526 96 64,98,58,92,99
тов. Ларионова Алла Борисовна,2025,Очная,"{'Математика': 97, 'Физика': 97, 'Русский язык': 58, 'История': 87}",9.33,432.3,Юриспруденция,"с. Раменское, наб. Герцена, д. 344, 936433",83185837217,97,97,58,87
Овчинников Аскольд Ефимьевич,2025,Заочная,"{'Математика': 80, 'Физика': 57, 'Русский язык': 82, 'История': 87}",8.29,388.9,Информатика,"клх Тихорецк, ул. Тупиковая, д. 213 к. 95, 847953",8 (832) 930-3588,80,57,82,87
Парамон Артурович Савельев,2025,Очная,"{'Математика': 82, 'Физика': 75, 'Русский язык': 96, 'История': 55}",3.79,345.9,Информатика,"п. Морозовск, ш. Громова, д. 8/1 к. 1, 872803",86300397914,82,75,96,55
